2023-06-11 10:28:08,158 INFO main.py'' create_raid 63 :: messa
2023-06-11 10:28:52,372 INFO main.py'' get_server_drives 53 :: Listing the server drivers
2023-06-11 10:31:01,823 INFO main.py'' get_server_uptime 43 :: Server not upNone
2023-06-11 10:31:31,767 INFO main.py'' get_server_uptime 40 :: Server up<re.Match object; span=(10, 18), match='up  1:00'>
2023-06-11 10:41:02,259 INFO main.py'' create_partition 62 :: partition created
2023-06-11 10:43:56,825 INFO main.py'' create_partition 62 :: partition created
2023-06-11 10:57:40,120 INFO main.py'' create_raid 77 :: Raid Created
2023-06-11 10:58:12,371 INFO main.py'' delete_raid 86 :: Raid Stop
2023-06-11 11:04:41,576 INFO main.py'' sensors_info 94 :: sensor detailsSEL              | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Intrusion        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Fan1 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan2 RPM         | 4080.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan3 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan4 RPM         | 4080.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan5 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Fan6 RPM         | 3960.000   | RPM        | ok    | na        | 600.000   | 840.000   | na        | na        | na        
Inlet Temp       | 32.000     | degrees C  | ok    | na        | -7.000    | 3.000     | 42.000    | 47.000    | na        
Exhaust Temp     | 40.000     | degrees C  | ok    | na        | 3.000     | 8.000     | 70.000    | 75.000    | na        
Temp             | na         |            | na    | na        | na        | na        | 0.000     | na        | na        
Temp             | na         |            | na    | na        | na        | na        | 0.000     | na        | na        
OS Watchdog      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
VCORE PG         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VCORE PG         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
3.3V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
5V PG            | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
USB Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Dedicated NIC    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
VGA Cable Pres   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Presence         | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PLL PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PLL PG           | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
1.1V PG          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
BP0 5V PG        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
